Step,From,To,Weight,,,Zendmasten
1,A1,A90,210.0,,,"A6, A30, A59, A67, A82, A100"
2,A90,A89,105.0,,,
3,A89,A90,105.0,,,
4,A90,A86,91.0,,,
5,A86,A85,56.0,,,
6,A85,A86,56.0,,,
7,A86,A87,91.0,,,
8,A87,A81,56.0,,,
9,A81,A87,56.0,,,
10,A87,A89,91.0,,,
11,A89,A80,105.0,,,
12,A80,A74,70.0,,,
13,A74,A80,70.0,,,
14,A80,A79,140.0,,,
15,A79,A81,140.0,,,
16,A81,A88,35.0,,,
17,A88,A82,70.0,,,
18,A82,A88,70.0,,,
19,A88,A84,91.0,,,
20,A84,A85,35.0,,,
21,A85,A91,70.0,,,
22,A91,A95,91.0,,,
23,A95,A94,70.0,,,
24,A94,A93,91.0,,,
25,A93,A92,35.0,,,
26,A92,A2,105.0,,,
27,A2,A92,105.0,,,
28,A92,A91,70.0,,,
29,A91,A95,91.0,,,
30,A95,A83,70.0,,,
31,A83,A84,56.0,,,
32,A84,A83,56.0,,,
33,A83,A82,105.0,,,
34,A82,A78,105.0,,,
35,A78,A77,70.0,,,
36,A77,A78,70.0,,,
37,A78,A79,105.0,,,
38,A79,A75,70.0,,,
39,A75,A76,70.0,,,
40,A76,A109,70.0,,,
41,A109,A72,70.0,,,
42,A72,A109,70.0,,,
43,A109,A67,70.0,,,
44,A67,A109,70.0,,,
45,A109,A76,70.0,,,
46,A76,A64,56.0,,,
47,A64,A65,70.0,,,
48,A65,A66,56.0,,,
49,A66,A67,56.0,,,
50,A67,A68,140.0,,,
51,A68,A73,175.0,,,
52,A73,A69,175.0,,,
53,A69,A68,56.0,,,
54,A68,A69,56.0,,,
55,A69,A70,70.0,,,
56,A70,A71,56.0,,,
57,A71,A108,280.0,,,
58,A108,A107,91.0,,,
59,A107,A106,56.0,,,
60,A106,A103,126.0,,,
61,A103,A104,91.0,,,
62,A104,A105,56.0,,,
63,A105,A104,56.0,,,
64,A104,A101,70.0,,,
65,A101,A97,70.0,,,
66,A97,A98,70.0,,,
67,A98,A99,70.0,,,
68,A99,A96,91.0,,,
69,A96,A100,126.0,,,
70,A100,A96,126.0,,,
71,A96,A97,70.0,,,
72,A97,A101,70.0,,,
73,A101,A102,105.0,,,
74,A102,A103,70.0,,,
75,A103,A106,126.0,,,
76,A106,A107,56.0,,,
77,A107,A60,70.0,,,
78,A60,A61,91.0,,,
79,A61,A62,70.0,,,
80,A62,A63,70.0,,,
81,A63,A62,70.0,,,
82,A62,A59,91.0,,,
83,A59,A58,70.0,,,
84,A58,A63,91.0,,,
85,A63,A54,70.0,,,
86,A54,A53,70.0,,,
87,A53,A54,70.0,,,
88,A54,A55,70.0,,,
89,A55,A57,35.0,,,
90,A57,A56,91.0,,,
91,A56,A57,91.0,,,
92,A57,A58,35.0,,,
93,A58,A59,70.0,,,
94,A59,A60,70.0,,,
95,A60,A61,91.0,,,
96,A61,A108,70.0,,,
97,A108,A71,280.0,,,
98,A71,A70,56.0,,,
99,A70,A72,315.0,,,
100,A72,A74,70.0,,,
101,A74,A75,140.0,,,
102,A75,A77,105.0,,,
103,A77,A42,70.0,,,
104,A42,A64,56.0,,,
105,A64,A42,56.0,,,
106,A42,A41,35.0,,,
107,A41,A52,105.0,,,
108,A52,A51,105.0,,,
109,A51,A43,70.0,,,
110,A43,A51,70.0,,,
111,A51,A50,70.0,,,
112,A50,A49,70.0,,,
113,A49,A47,70.0,,,
114,A47,A49,70.0,,,
115,A49,A43,70.0,,,
116,A43,A48,70.0,,,
117,A48,A44,70.0,,,
118,A44,A48,70.0,,,
119,A48,A47,70.0,,,
120,A47,A45,70.0,,,
121,A45,A46,105.0,,,
122,A46,A45,105.0,,,
123,A45,A44,70.0,,,
124,A44,A43,140.0,,,
125,A43,A30,175.0,,,
126,A30,A31,70.0,,,
127,A31,A32,70.0,,,
128,A32,A31,70.0,,,
129,A31,A29,70.0,,,
130,A29,A28,35.0,,,
131,A28,A33,175.0,,,
132,A33,A28,175.0,,,
133,A28,A29,35.0,,,
134,A29,A31,70.0,,,
135,A31,A30,70.0,,,
136,A30,A25,105.0,,,
137,A25,A30,105.0,,,
138,A30,A35,70.0,,,
139,A35,A34,91.0,,,
140,A34,A35,91.0,,,
141,A35,A36,70.0,,,
142,A36,A37,91.0,,,
143,A37,A36,91.0,,,
144,A36,A39,91.0,,,
145,A39,A38,70.0,,,
146,A38,A39,70.0,,,
147,A39,A40,70.0,,,
148,A40,A26,126.0,,,
149,A26,A20,70.0,,,
150,A20,A26,70.0,,,
151,A26,A25,245.0,,,
152,A25,A21,91.0,,,
153,A21,A25,91.0,,,
154,A25,A24,140.0,,,
155,A24,A27,35.0,,,
156,A27,A23,140.0,,,
157,A23,A22,91.0,,,
158,A22,A21,140.0,,,
159,A21,A20,245.0,,,
160,A20,A19,21.0,,,
161,A19,A14,105.0,,,
162,A14,A13,70.0,,,
163,A13,A12,70.0,,,
164,A12,A21,21.0,,,
165,A21,A22,140.0,,,
166,A22,A10,21.0,,,
167,A10,A11,70.0,,,
168,A11,A12,70.0,,,
169,A12,A13,70.0,,,
170,A13,A14,70.0,,,
171,A14,A15,35.0,,,
172,A15,A16,70.0,,,
173,A16,A5,70.0,,,
174,A5,A6,70.0,,,
175,A6,A7,70.0,,,
176,A7,A8,70.0,,,
177,A8,A9,70.0,,,
178,A9,A8,70.0,,,
179,A8,A7,70.0,,,
180,A7,A6,70.0,,,
181,A6,A5,70.0,,,
182,A5,A16,70.0,,,
183,A16,A17,105.0,,,
184,A17,A18,70.0,,,
185,A18,A17,70.0,,,
186,A17,A4,70.0,,,
187,A4,A5,105.0,,,
188,A5,A4,105.0,,,
189,A4,A3,175.0,,,
190,A3,A2,140.0,,,
191,A2,A1,56.0,,,

Total Cost,16562.0
