Step,From,To,Weight
1,A30,A31,70.0
2,A31,A32,70.0
3,A32,A31,70.0
4,A31,A29,70.0
5,A29,A28,35.0
6,A28,A33,175.0
7,A33,A28,175.0
8,A28,A29,35.0
9,A29,A31,70.0
10,A31,A30,70.0
11,A30,A25,105.0
12,A25,A30,105.0
13,A30,A35,70.0
14,A35,A34,91.0
15,A34,A35,91.0
16,A35,A36,70.0
17,A36,A37,91.0
18,A37,A36,91.0
19,A36,A39,91.0
20,A39,A38,70.0
21,A38,A39,70.0
22,A39,A40,70.0
23,A40,A26,126.0
24,A26,A20,70.0
25,A20,A26,70.0
26,A26,A25,245.0
27,A25,A21,91.0
28,A21,A25,91.0
29,A25,A24,140.0
30,A24,A27,35.0
31,A27,A23,140.0
32,A23,A22,91.0
33,A22,A21,140.0
34,A21,A20,245.0
35,A20,A19,21.0
36,A19,A14,105.0
37,A14,A13,70.0
38,A13,A12,70.0
39,A12,A21,21.0
40,A21,A22,140.0
41,A22,A10,21.0
42,A10,A11,70.0
43,A11,A12,70.0
44,A12,A13,70.0
45,A13,A14,70.0
46,A14,A15,35.0
47,A15,A16,70.0
48,A16,A5,70.0
49,A5,A6,70.0
50,A6,A7,70.0
51,A7,A8,70.0
52,A8,A9,70.0
53,A9,A8,70.0
54,A8,A7,70.0
55,A7,A6,70.0
56,A6,A5,70.0
57,A5,A16,70.0
58,A16,A17,105.0
59,A17,A18,70.0
60,A18,A17,70.0
61,A17,A4,70.0
62,A4,A5,105.0
63,A5,A4,105.0
64,A4,A3,175.0
65,A3,A2,140.0
66,A2,A1,56.0
67,A1,A90,210.0
68,A90,A89,105.0
69,A89,A90,105.0
70,A90,A86,91.0
71,A86,A85,56.0
72,A85,A86,56.0
73,A86,A87,91.0
74,A87,A81,56.0
75,A81,A87,56.0
76,A87,A89,91.0
77,A89,A80,105.0
78,A80,A74,70.0
79,A74,A80,70.0
80,A80,A79,140.0
81,A79,A81,140.0
82,A81,A88,35.0
83,A88,A82,70.0
84,A82,A88,70.0
85,A88,A84,91.0
86,A84,A85,35.0
87,A85,A91,70.0
88,A91,A95,91.0
89,A95,A94,70.0
90,A94,A93,91.0
91,A93,A92,35.0
92,A92,A2,105.0
93,A2,A92,105.0
94,A92,A91,70.0
95,A91,A95,91.0
96,A95,A83,70.0
97,A83,A84,56.0
98,A84,A83,56.0
99,A83,A82,105.0
100,A82,A78,105.0
101,A78,A77,70.0
102,A77,A78,70.0
103,A78,A79,105.0
104,A79,A75,70.0
105,A75,A76,70.0
106,A76,A109,70.0
107,A109,A72,70.0
108,A72,A109,70.0
109,A109,A67,70.0
110,A67,A109,70.0
111,A109,A76,70.0
112,A76,A64,56.0
113,A64,A65,70.0
114,A65,A66,56.0
115,A66,A67,56.0
116,A67,A68,140.0
117,A68,A73,175.0
118,A73,A69,175.0
119,A69,A68,56.0
120,A68,A69,56.0
121,A69,A70,70.0
122,A70,A71,56.0
123,A71,A108,280.0
124,A108,A107,91.0
125,A107,A106,56.0
126,A106,A103,126.0
127,A103,A104,91.0
128,A104,A105,56.0
129,A105,A104,56.0
130,A104,A101,70.0
131,A101,A97,70.0
132,A97,A98,70.0
133,A98,A99,70.0
134,A99,A96,91.0
135,A96,A100,126.0
136,A100,A96,126.0
137,A96,A97,70.0
138,A97,A101,70.0
139,A101,A102,105.0
140,A102,A103,70.0
141,A103,A106,126.0
142,A106,A107,56.0
143,A107,A60,70.0
144,A60,A61,91.0
145,A61,A62,70.0
146,A62,A63,70.0
147,A63,A62,70.0
148,A62,A59,91.0
149,A59,A58,70.0
150,A58,A63,91.0
151,A63,A54,70.0
152,A54,A53,70.0
153,A53,A54,70.0
154,A54,A55,70.0
155,A55,A57,35.0
156,A57,A56,91.0
157,A56,A57,91.0
158,A57,A58,35.0
159,A58,A59,70.0
160,A59,A60,70.0
161,A60,A61,91.0
162,A61,A108,70.0
163,A108,A71,280.0
164,A71,A70,56.0
165,A70,A72,315.0
166,A72,A74,70.0
167,A74,A75,140.0
168,A75,A77,105.0
169,A77,A42,70.0
170,A42,A64,56.0
171,A64,A42,56.0
172,A42,A41,35.0
173,A41,A52,105.0
174,A52,A51,105.0
175,A51,A43,70.0
176,A43,A51,70.0
177,A51,A50,70.0
178,A50,A49,70.0
179,A49,A47,70.0
180,A47,A49,70.0
181,A49,A43,70.0
182,A43,A48,70.0
183,A48,A44,70.0
184,A44,A48,70.0
185,A48,A47,70.0
186,A47,A45,70.0
187,A45,A46,105.0
188,A46,A45,105.0
189,A45,A44,70.0
190,A44,A43,140.0
191,A43,A30,175.0

Total Cost,16562.0
Edges Traversed,191

Minimum Dominating Set
A100
A30
A59
A6
A67
A82
